date,n,top_n,bottom_n,top,bottom,spread,feature,horizon,note
2026-08-21,56,5,15,-0.07042898139575846,-0.026595904521835523,-0.04383307687392293,tech_score,10,higher=bullish
2026-08-18,606,65,94,-0.003589393350184598,-0.02082230007677408,0.017232906726589482,options_score,10,higher=bullish
2026-08-19,604,121,88,-0.0060934969949541454,-0.02605379043935678,0.019960293444402637,options_score,10,higher=bullish
2026-08-21,56,12,7,-0.034170458534850595,-0.03771309549799168,0.0035426369631410826,options_score,10,higher=bullish
2026-08-18,606,177,137,0.011605191195724172,-0.025712253227163515,0.03731744442288769,combined_score_rebuilt,10,higher=bullish
2026-08-19,604,112,130,-0.005694117951097622,-0.028866561531809897,0.023172443580712274,combined_score_rebuilt,10,higher=bullish
2026-08-21,56,12,11,-0.04245367490369322,-0.014095436045996253,-0.02835823885769697,combined_score_rebuilt,10,higher=bullish
2026-08-18,575,116,115,0.002079857346102275,-0.02427617171116908,0.026356029057271357,flip_dist_atr,10,higher=bullish
2026-08-19,575,116,115,0.0006973004375363666,-0.02938324985138288,0.030080550288919247,flip_dist_atr,10,higher=bullish
2026-08-21,36,8,7,-0.013542867854687352,-0.03910247235812842,0.02555960450344107,flip_dist_atr,10,higher=bullish
2026-08-18,269,54,53,-0.014088881893009855,-0.007773575393619604,-0.00631530649939025,log_wall_rr,10,higher=bullish
2026-08-19,590,119,118,-0.018667872378320658,-0.00033497678024738614,-0.018332895598073273,log_wall_rr,10,higher=bullish
2026-08-21,40,9,8,-0.03371596091846863,-0.02541187211496345,-0.00830408880350518,log_wall_rr,10,higher=bullish
2026-08-18,593,119,118,-0.006154488809408426,-0.02779357319434697,0.021639084384938546,signed_log_gex_per_oi,10,higher test only; dealer side unknown
2026-08-19,593,119,118,-0.007255722244656602,-0.0260627987537163,0.018807076509059696,signed_log_gex_per_oi,10,higher test only; dealer side unknown
2026-08-21,40,9,8,-0.0315137182012633,-0.020549201063584474,-0.010964517137678827,signed_log_gex_per_oi,10,higher test only; dealer side unknown
2026-08-18,287,29,49,0.009634287265949707,-0.030796104383309725,0.040430391649259434,options_score,10,quality-gated
2026-08-19,282,61,43,-0.0032383549028347433,-0.021800270614316237,0.018561915711481494,options_score,10,quality-gated
