sample,date,model,n,ic,spread,mse
pair:base+depth+flip+wall_rr,2026-08-25,base,45,-0.013702239789196309,-0.001728840980840092,0.002483950864232712
pair:base+depth+flip+wall_rr,2026-08-25,base+depth+flip+wall_rr,45,0.06851119894598155,0.017765037156543508,0.0022624156263918605
pair:base+depth+flip+wall_rr,2026-08-27,base,31,-0.08629032258064517,-0.014060658197813745,0.001740750430687286
pair:base+depth+flip+wall_rr,2026-08-27,base+depth+flip+wall_rr,31,0.08991935483870969,0.022367664223614626,0.0019219263606137546
pair:base+depth+flip+wall_dist,2026-08-18,base,265,0.2641296637820968,0.0318407481745884,0.0037561807018845275
pair:base+depth+flip+wall_dist,2026-08-18,base+depth+flip+wall_dist,265,0.26278840325513614,0.03827646164845379,0.0033905418953466054
pair:base+depth+flip+wall_dist,2026-08-19,base,575,0.08318581780538303,0.0023643234088445795,0.0019384490788838572
pair:base+depth+flip+wall_dist,2026-08-19,base+depth+flip+wall_dist,575,0.10260516083421704,0.009802763301699236,0.0017208564614341684
pair:base+depth+flip+wall_dist,2026-08-21,base,36,0.10630630630630632,0.019378045068424773,0.0022612080174486664
pair:base+depth+flip+wall_dist,2026-08-21,base+depth+flip+wall_dist,36,0.11042471042471043,0.041981129735932675,0.0022735221279539075
pair:base+depth+flip+wall_dist,2026-08-24,base,615,-0.024416683576033972,-0.007125205356288928,0.002773797694578446
pair:base+depth+flip+wall_dist,2026-08-24,base+depth+flip+wall_dist,615,0.057267651654454514,-7.610303640909893e-05,0.002420963518846688
pair:base+depth+flip+wall_dist,2026-08-25,base,45,-0.013702239789196309,-0.001728840980840092,0.002483950864232712
pair:base+depth+flip+wall_dist,2026-08-25,base+depth+flip+wall_dist,45,-0.06231884057971014,-0.005430412511091727,0.0023585742566265347
pair:base+depth+flip+wall_dist,2026-08-27,base,31,-0.08629032258064517,-0.014060658197813745,0.001740750430687286
pair:base+depth+flip+wall_dist,2026-08-27,base+depth+flip+wall_dist,31,0.03387096774193548,0.0015668741361093454,0.0020876202887833446
pair:base+all_rr,2026-08-18,base,265,0.2641296637820968,0.0318407481745884,0.0037561807018845275
pair:base+all_rr,2026-08-18,base+all_rr,265,0.2505261868221153,0.04378672184458671,0.0034247718469965003
pair:base+all_rr,2026-08-19,base,575,0.08318581780538303,0.0023643234088445795,0.0019384490788838572
pair:base+all_rr,2026-08-19,base+all_rr,575,0.09637422360248449,0.010796461107635165,0.0017559919565080788
pair:base+all_rr,2026-08-21,base,36,0.10630630630630632,0.019378045068424773,0.0022612080174486664
pair:base+all_rr,2026-08-21,base+all_rr,36,0.19099099099099098,0.04400930098366577,0.0022603999633179924
pair:base+all_rr,2026-08-24,base,615,-0.024416683576033972,-0.007125205356288928,0.002773797694578446
pair:base+all_rr,2026-08-24,base+all_rr,615,0.05317829533948002,0.0011876631276801705,0.002457811667485018
pair:base+all_rr,2026-08-25,base,45,-0.013702239789196309,-0.001728840980840092,0.002483950864232712
pair:base+all_rr,2026-08-25,base+all_rr,45,0.05322793148880104,0.017765037156543508,0.002280830462692374
pair:base+all_rr,2026-08-27,base,31,-0.08629032258064517,-0.014060658197813745,0.001740750430687286
pair:base+all_rr,2026-08-27,base+all_rr,31,0.030645161290322586,0.00965524367175421,0.0019398456229151055
pair:base+all_dist,2026-08-18,base,265,0.2641296637820968,0.0318407481745884,0.0037561807018845275
pair:base+all_dist,2026-08-18,base+all_dist,265,0.26463779517404146,0.043761817427699766,0.0033855956080998837
pair:base+all_dist,2026-08-19,base,575,0.08318581780538303,0.0023643234088445795,0.0019384490788838572
pair:base+all_dist,2026-08-19,base+all_dist,575,0.10206717416553049,0.010920188600995516,0.001724134793711604
pair:base+all_dist,2026-08-21,base,36,0.10630630630630632,0.019378045068424773,0.0022612080174486664
pair:base+all_dist,2026-08-21,base+all_dist,36,0.12844272844272847,0.041861746908933635,0.0022632284422602197
pair:base+all_dist,2026-08-24,base,615,-0.024416683576033972,-0.007125205356288928,0.002773797694578446
pair:base+all_dist,2026-08-24,base+all_dist,615,0.055945013046147046,1.6082779893615562e-05,0.002422599797415166
pair:base+all_dist,2026-08-25,base,45,-0.013702239789196309,-0.001728840980840092,0.002483950864232712
pair:base+all_dist,2026-08-25,base+all_dist,45,-0.06403162055335967,-0.010547025101554173,0.002377762315657499
pair:base+all_dist,2026-08-27,base,31,-0.08629032258064517,-0.014060658197813745,0.001740750430687286
pair:base+all_dist,2026-08-27,base+all_dist,31,0.00846774193548387,-0.0006535195364199692,0.0021031126376700677
strict_common,2026-08-18,base,265,0.2641296637820968,0.0318407481745884,0.0037561807018845275
