condition,horizon,n,dates,tickers,mean_exqqq,ci_lo,ci_hi,raw_mean,median_exqqq,win_exqqq,p_boot,q_bh
Call Wall 1-2ATR,10,279,3,236,-0.008168219397040138,-0.010111798994955202,-0.007409291059404215,-0.018709411478719525,-0.009153020985510407,0.4121863799283154,0.041631973355537054,0.25152650568970303
Negative gamma regime,10,110,4,76,-0.031385711203030284,-0.06341540962984567,-0.027742954064880768,-0.041054067895940946,-0.02980997697951515,0.2727272727272727,0.04079933388842631,0.25152650568970303
Put Wall 0-0.5ATR,10,367,3,296,-0.016503344797427814,-0.021830179112071378,-0.010874196227236536,-0.02723376069555428,-0.014751564403774453,0.4032697547683924,0.04412989175686927,0.25595337218984177
Wall RR >=1.4,10,372,3,314,-0.013219203434631456,-0.01843888333218679,-0.007378312789741342,-0.023475385073503552,-0.010320400236966898,0.40860215053763443,0.04746044962531224,0.26468327675654907
Sector 20d momentum >0,10,1022,4,568,-0.0017850237260389193,-0.01791311547998148,-0.0011961684490187044,-0.012860177489342955,-0.00015306628239181164,0.5,0.14321398834304747,0.5768341197150524
Wall RR <=0.7,10,350,3,298,-0.003877241695536859,-0.006758029324505389,0.0004800405083212418,-0.013595739723369072,-0.0021631891596675112,0.4714285714285714,0.18984179850124897,0.7243963363863447
Put Wall 1-2ATR,10,239,3,201,-0.002473828294710684,-0.00477534048088749,0.0007808354029130821,-0.013118140780906767,-0.00489146370712501,0.4686192468619247,0.253955037468776,0.8563600100691284
Bull combo Flip+/EMA/VWAP/RR,10,136,3,123,-0.007343465766502678,-0.015596936537101938,0.003436434568858225,-0.016991280296367192,-0.006654291416555491,0.4264705882352941,0.31140716069941715,0.9151540383014155
Broad Direction score >=68,10,452,3,323,0.002807206591271223,-0.007918518087653852,0.010297094425407518,-0.008379505701365765,0.004591771349959584,0.5265486725663717,0.6652789342214821,0.9711110306628534
GEX+ & Flip above,10,742,3,432,0.0016718008214202794,-0.0037514676111111292,0.005555242301505452,-0.009291364202746783,-0.0009584783725973822,0.49056603773584906,0.559533721898418,0.9711110306628534
Flip > +0.35ATR,10,769,3,446,0.00106138719693284,-0.004343255218457808,0.004959771111960341,-0.009900816312962732,-0.001108435991161394,0.48634590377113135,0.6378018318068276,0.9711110306628534
OI >=20k,10,458,3,236,0.0005959429912516523,-0.005926917926314457,0.007543270403755354,-0.010897851377911265,-0.0008648688625265688,0.4890829694323144,0.7560366361365529,0.9711110306628534
Positive gamma regime,10,608,4,371,-0.00014125882874023825,-0.009712449000031357,0.0012341101030616075,-0.01082291273599431,0.000417419812616282,0.5016447368421053,0.7601998334721066,0.9711110306628534
Price > EMA21,10,726,4,439,-0.0008507134412146925,-0.014714422209381878,0.00126966225608318,-0.011420905172093576,0.0004913205437332979,0.5013774104683195,0.7918401332223147,0.9711110306628534
Price > 63d VWAP,10,842,4,463,-0.0015678379171483237,-0.013923153290540854,0.0007992490369079765,-0.012155855811414307,0.0,0.498812351543943,0.5587010824313072,0.9711110306628534
