sector_etf,provider_symbol,symbol,weight_pct,name,source_url,provider
GRID,BEAN.SE,BEAN.SE,1.19,Belimo Holding AG,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,010120.KS,010120.KS,1.17,"LS Electric Co., Ltd.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,ORCL,ORCL,1.13,Oracle Corporation,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,SAP.GY,SAP.DE,1.07,SAP SE,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,APTV,APTV,1.02,Aptiv Plc,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,SIE.GY,SIE.DE,0.99,Siemens AG,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,EQTL3.BZ,EQTL3.SA,0.97,Equatorial Energia SA,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,SPIE.FP,SPIE.PA,0.96,SPIE S.A.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,TXN,TXN,0.92,Texas Instruments Incorporated,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,ELI.BB,ELI.BB,0.91,Elia Group SA/NV,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,NKT.DC,NKT.CO,0.89,NKT A/S,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,RED.SM,RED.SM,0.88,Red Electrica Corporacion S.A.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,GEV,GEV,0.87,GE Vernova Inc.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,IBM,IBM,0.85,International Business Machines Corporation,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,1519.TT,1519.TW,0.8,"Fortune Electric Co., Ltd.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,NEX.FP,NEX.PA,0.77,Nexans S.A.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,QCOM,QCOM,0.69,QUALCOMM Incorporated,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,ADI,ADI,0.68,"Analog Devices, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,6501.JP,6501.T,0.68,"Hitachi, Ltd.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,IBE.SM,IBE.SM,0.6,Iberdrola S.A.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,CPLE3.BZ,CPLE3.SA,0.55,Companhia Paranaense de Energia-Copel,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,MYRG,MYRG,0.48,MYR Group Inc.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,ENPH,ENPH,0.46,"Enphase Energy, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,ENGI11.BZ,ENGI11.SA,0.43,Energisa SA (Units),https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
