engine,variant,timing,cost,policy,period,n,cagr,mdd,sharpe,sortino,calmar,daily_pf
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2022_2025,1003,0.5140400600536947,-0.19481158272963506,1.655771100797328,2.527215152216288,2.6386524499782635,1.38299374487591
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2022_2026_AVAILABLE,1057,0.4483731629913883,-0.21695126976686585,1.4596539221899358,2.1811253622421853,2.06669987907057,1.3296469159398863
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2016,252,0.31137646807630404,-0.1569581807257574,1.469075171908265,2.1985197061114814,1.983818024881108,1.3153906421863897
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2017,251,0.41588847551189634,-0.10243669320235438,2.0292171172780438,3.024562446067904,4.05995608126813,1.3870295809377642
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2018,251,0.29801917437339687,-0.2447909790044962,0.9354367940904235,1.4086341228798769,1.217443451492234,1.2067470833122314
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2019,252,0.44501765363717927,-0.12537997227670594,1.7909321580609794,2.873286346182929,3.5493519862570433,1.3870509395653146
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2020,253,1.8584917651876416,-0.2046852581322408,2.7064898164033453,4.785943485122027,9.079753872586796,1.7387818283104202
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2021,252,0.43265289489800907,-0.2636774222119117,1.249778301261945,1.7997063759328698,1.6408416438108815,1.2257262169997085
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2022,251,-0.0624354924629148,-0.13330318895711524,-0.249262175129211,-0.3218724352328502,-0.4683720843542672,0.9345881697785782
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2023,250,0.5976334354802235,-0.14702659638373605,2.1495721016472187,3.2726688271446953,4.064798139789715,1.4775940194183597
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2024,252,0.9346389946112585,-0.1847929208399347,2.0763852195854575,3.1540603132886456,5.0577640656528775,1.4374023641662244
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2025,250,0.8132265651330708,-0.11693296651195251,2.1443754386423914,3.587462635061355,6.954638964452727,1.4836446934609966
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2026,54,-0.36437432075907106,-0.21695126976686596,-0.9341225279564418,-1.1975115440516078,-1.6795214941614525,0.8456245384926804
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,SELECTIVE_FILL_NO_ZERO_OVERRIDE,FULL,2568,0.5042579879277722,-0.26435965226420766,1.5557525953468554,2.3946978467475684,1.9074695537267696,1.3519974541093152
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2016_2020,1259,0.5768547980593106,-0.24516007714818344,1.7274131608689536,2.7879649786381284,2.3529720041270794,1.4159773609815762
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2021_2025,1255,0.48967296611528366,-0.2643596522642073,1.5384244141501457,2.30695957046632,1.8522984196767396,1.3342223781634386
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2022_2025,1003,0.5072662078603092,-0.1955553280337614,1.639314343858505,2.5004681699207345,2.5939779445576283,1.3784664319243778
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2022_2026_AVAILABLE,1057,0.441413033634505,-0.21819735746895808,1.4424787088373914,2.1540039273836236,2.0229989893314944,1.3251324879555846
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2016,252,0.30343811683770405,-0.15884247324355982,1.4385652658303154,2.149530425823305,1.9103084372932777,1.3077789207841812
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2017,251,0.40599943866771326,-0.10338712921520288,1.9904437970398872,2.961145577390566,3.9269824179237567,1.378543968604709
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2018,251,0.29236270449368296,-0.245160077148184,0.9228489330093205,1.388586570396779,1.192537985362796,1.2036695850727226
