period,method,dimension,bucket,n,mean20,median20,win20,pf20,mae20,p10_20
CONFIRM,M10_RSI65_DD075,sector_bucket,70_80,1709,0.005817902029120964,-0.002741701418215058,0.4885898186073727,1.1049716531549219,-0.11175066912306576,-0.16792648121526005
CONFIRM,M10_RSI65_DD075,sector_bucket,GE80,5481,0.02243978028930572,0.0025261053900415007,0.5066593687283343,1.385531905917954,-0.11618270093849463,-0.18198156929303255
CONFIRM,M10_RSI65_DD075,rs189_bucket,85_90,3473,0.01880658826831475,0.006596688361854564,0.5234667434494673,1.4271502147125297,-0.09126097461612581,-0.13651957569148007
CONFIRM,M10_RSI65_DD075,rs189_bucket,90_95,3183,0.012272754675179921,-0.001,0.4948162111215834,1.2406438391575068,-0.10457444373181263,-0.1552371234033772
CONFIRM,M10_RSI65_DD075,rs189_bucket,GE95,3655,0.015595385224456223,-0.00559560571773332,0.48727770177838575,1.2145171615681436,-0.1421804317214616,-0.22256319919441261
CONFIRM,M5_RSI65_DD075,mc_bucket,20_50_NOTUP,1522,0.005567301428286878,-0.009106059263225552,0.4664914586070959,1.0988753557616908,-0.11252192909561504,-0.17078234740907422
CONFIRM,M5_RSI65_DD075,mc_bucket,20_50_UP,2065,0.02477000865257496,0.009290850192354205,0.5351089588377724,1.5493850843780395,-0.09917620063870486,-0.1440108040946793
CONFIRM,M5_RSI65_DD075,mc_bucket,GE50_OTHER,1936,0.015923684501102774,-0.005442326526854112,0.4834710743801653,1.2424692839047076,-0.12531382396120289,-0.20363874414523392
CONFIRM,M5_RSI65_DD075,mc_bucket,GE50_UP,4010,0.013471586546528934,-0.0058209679460973765,0.4832917705735661,1.208158749979343,-0.1264615575713918,-0.2029998126252493
CONFIRM,M5_RSI65_DD075,mc_bucket,LT20,1513,0.021574924378721334,0.012098838411213175,0.5479180436219432,1.5447527425200287,-0.0896636457469506,-0.13009426076709693
CONFIRM,M5_RSI65_DD075,sector_bucket,50_60,1965,0.012106445563953258,-0.004461544330303434,0.48854961832061067,1.218379552880037,-0.11286550737802864,-0.17870976804771016
CONFIRM,M5_RSI65_DD075,sector_bucket,60_70,1622,0.011602860739735635,0.0018934673476572747,0.5098643649815043,1.2208034846154108,-0.10873544215515119,-0.1665471899049085
CONFIRM,M5_RSI65_DD075,sector_bucket,70_80,1792,0.006103486935210891,-0.003027461969917932,0.48716517857142855,1.1081714026354452,-0.11362067583797957,-0.16937140798618475
CONFIRM,M5_RSI65_DD075,sector_bucket,GE80,5667,0.021805050684881602,0.00198512289016295,0.5043232751014646,1.3743324088474365,-0.11640707167683374,-0.18396654845556024
CONFIRM,M5_RSI65_DD075,rs189_bucket,85_90,3656,0.016940489887759935,0.0035656146089509963,0.5136761487964989,1.3793127679142516,-0.09198655400867113,-0.14071243728817018
CONFIRM,M5_RSI65_DD075,rs189_bucket,90_95,3360,0.012476030720454319,-0.0005513909328612723,0.4973214285714286,1.2459091899991783,-0.10512460232776202,-0.15392815366726453
CONFIRM,M5_RSI65_DD075,rs189_bucket,GE95,3750,0.01726132631218936,-0.004888827735092415,0.4866666666666667,1.2402510628671888,-0.14154847144188515,-0.22249018834372244
